,Chla,PC,APC,B-car,Zea,Ech,Myx,HEch,P698,P702,P680,P686,Pheo
396,0.016879510063153202,0.000181564,0.000218907,0.02353610712742975,0.021008739919115147,0.014438829,0.006965336,0.008071255999999999,0.0118491764106754,0.010891017619727217,0.016879510063153202,0.014723652783519864,0.023440426965903587
397,0.01711904976089024,0.000181041,0.000218907,0.024542593017730773,0.021907146787638877,0.014920051,0.007144698,0.008432304000000002,0.012088716108412445,0.011130557317464262,0.01711904976089024,0.014963192481256882,0.02365550227169566
398,0.01735858945862728,0.000180518,0.000216287,0.025614608660577437,0.02286404665675704,0.015401274,0.007324059,0.008793351999999997,0.01232825580614949,0.011370097015201308,0.01735858945862728,0.015202732178993927,0.023870577577487735
399,0.017598129156364318,0.000179995,0.000213666,0.026649795103786296,0.023788072139621325,0.015882497,0.00750342,0.009154400000000007,0.012567795503886536,0.011609636712938354,0.017598129156364318,0.01544227187673096,0.02408565288327981
400,0.017837668854101357,0.000179472,0.000211046,0.02761762028130489,0.024651969781298997,0.016363719,0.007682781,0.009515448000000003,0.012807335201623526,0.0118491764106754,0.017837668854101357,0.015681811574468005,0.024300728189071884
401,0.018077208551838395,0.000178949,0.000208426,0.02845947213916948,0.025403421439661348,0.016844942,0.007862143,0.009876495999999998,0.013046874899360572,0.012088716108412445,0.018077208551838395,0.01592135127220505,0.024515803494863958
402,0.018316748249575434,0.000178426,0.000205805,0.02919475505455292,0.02605974780037274,0.017326164,0.008041504,0.010237544000000001,0.013286414597097618,0.01232825580614949,0.018316748249575434,0.016160890969942082,0.024730878800656032
403,0.018556287947312504,0.000177699,0.000203185,0.029829439633166425,0.02662627833027607,0.017772315,0.008292715,0.010598592,0.013525954294834663,0.012567795503886536,0.018556287947312504,0.01640043066767912,0.024945954106448107
404,0.01873645875513897,0.000176972,0.000201634,0.030388098594429418,0.027124947067510823,0.018218466,0.008543925,0.01095964,0.013765493992571681,0.012807335201623526,0.01873645875513897,0.016639970365416163,0.02516102941224018
405,0.018986871478817596,0.000175874,0.000200082,0.03091332932323601,0.027593777181143555,0.018843364,0.008911022,0.011320688,0.014005033690308727,0.013046874899360572,0.018986871478817596,0.016879510063153202,0.025376104718032255
406,0.019216806526494556,0.000174776,0.000198531,0.03144062809149405,0.028064453262877237,0.019468262,0.00927812,0.011681736,0.014244573388045773,0.013286414597097618,0.019216806526494556,0.01711904976089024,0.02559118002382433
407,0.019467219250173255,0.000173872,0.00019698,0.03195777221045723,0.028526065127455112,0.020029995,0.009645217,0.012042784,0.014484113085782818,0.013525954294834663,0.019467219250173255,0.01735858945862728,0.025806255329616404
408,0.019753321637740687,0.000172967,0.000195394,0.03245608743917131,0.02897086999603882,0.020591727,0.010012314,0.012403831,0.014723652783519864,0.013765493992571681,0.019753321637740687,0.017598129156364318,0.0260214810882753
409,0.020003734361419417,0.000172249,0.000193809,0.0329333669940447,0.02939689805508688,0.021145128,0.010312178,0.012764879,0.014963192481256882,0.014005033690308727,0.020003734361419417,0.017837668854101357,0.026253192897866807
410,0.020310314424988627,0.00017153,0.0001926,0.033417064093496984,0.02982865452641006,0.021698529,0.010612043,0.013107443,0.015202732178993927,0.014244573388045773,0.020310314424988627,0.018077208551838395,0.02648490470745832
411,0.0205402494726655,0.000170567,0.000191391,0.03390794288137584,0.030266821498140847,0.022219135,0.010905548,0.013450007,0.01544227187673096,0.014484113085782818,0.0205402494726655,0.018316748249575434,0.026847329091314494
412,0.02086730721223653,0.000169604,0.000191391,0.034398821669254676,0.030704988469871623,0.02273974,0.011199052,0.013925248,0.015681811574468005,0.014723652783519864,0.02086730721223653,0.018556287947312504,0.027300068698647185
