,Chla,APC,PC,B-car,Myx,Zea,Ech,HEch,Pheo
380,0.0130385382375,0.00039242738520954356,0.00020712962962963,0.016990418,0.004412188083908278,0.016865713,0.010256844,0.0071865633220338995,0.017441800200000003
381,0.013090750201785713,0.00038685684558620336,0.00020712962962963,0.016990418,0.004482853848277198,0.016865713,0.010256844,0.007341870101694915,0.01772174686666667
382,0.013142962166071427,0.0003812863059628631,0.00020712962962963,0.016990418,0.004553519612646117,0.016865713,0.010256844,0.007503638892123287,0.018001693533333335
383,0.01319517413035714,0.0003757157663395229,0.00020712962962963,0.016990418,0.004642879535279641,0.016865713,0.010256844,0.0077086534469178085,0.018457240798319334
384,0.013247386094642856,0.0003701452267161827,0.00020712962962963,0.016990418,0.004817401734451919,0.016865713,0.010256844,0.00791366800171233,0.018914561806722695
385,0.013283204733333331,0.00036457468700773694,0.00020712962962963,0.016990418,0.0049919239336241985,0.016865713,0.010256844,0.008118682556506851,0.019440900132075473
386,0.013307631399999999,0.0003590041472920701,0.00020712962962963,0.016990418,0.005166446132796477,0.016865713,0.010256844,0.008323697111301372,0.020011218764705872
387,0.013332058066666666,0.00035343360757640325,0.00020712962962963,0.016990418,0.005377812180722052,0.016865713,0.010256844,0.008528711666095895,0.020574407
388,0.013356484733333333,0.0003478630678607364,0.00020712962962963,0.016990418,0.005675147209071983,0.016865713,0.010256844,0.00872826150714286,0.021062748560483874
389,0.0133809114,0.0003422925281450696,0.00020712962962963,0.016990418,0.005972482237421914,0.016865713,0.010256844,0.008914432221428573,0.02147318847983871
390,0.013405338066666666,0.0003367219884294028,0.00020712962962963,0.016990418,0.006285807646200918,0.016865713,0.010256844,0.009100602935714285,0.021882857863636362
391,0.013526657271875,0.0003321410764965974,0.00020712962962963,0.016990418,0.006612216093512799,0.016865713,0.010256844,0.009286773649999998,0.02221624422727272
392,0.013659951959375,0.0003276846459912586,0.00020712962962963,0.016990418,0.00693862454082468,0.016865713,0.010256844,0.00948134806144067,0.022551022866995063
393,0.013793246646875,0.00032322821548591975,0.00020712962962963,0.016990418,0.00724193519431009,0.016865713,0.010256844,0.009760893188559317,0.02293081843349753
394,0.01400230760882353,0.0003187717849805809,0.0002064842432699579,0.016990418,0.0075452458477955,0.016870434162352937,0.010256844,0.010040438315677963,0.023310614
395,0.014245408491176472,0.00031431535447524203,0.00020473995581138477,0.016990418,0.007834332619328243,0.017342550397647056,0.010256844,0.01031998344279661,0.023510152345864663
396,0.014488509373529416,0.00031232365368408417,0.00020299566835281163,0.016990418,0.00809700361009175,0.01781466663294117,0.010256844,0.010599528569915254,0.02370969069172932
397,0.014791933248000008,0.0003107320713381383,0.00020125138089423846,0.017485663984693874,0.008359674600855255,0.01828678286823529,0.010256844,0.010913519557734206,0.023909229037593984
398,0.01524304444800001,0.0003091404889921924,0.00019950709343566532,0.018000151541871894,0.008623819746432258,0.018758899103529406,0.010491098031128403,0.011286161605664487,0.024108916677685947
399,0.01569415564800001,0.0003075489066462465,0.00019776280597709215,0.018975036270935948,0.008891574029656095,0.019153197568181814,0.0109020700155642,0.011658803653594767,0.024323384446280988
400,0.01616087156000001,0.00030595732430030063,0.000196018518518519,0.019949921,0.009159328312879932,0.019522922,0.011313042,0.012031445701525048,0.02453785221487603
401,0.01663173556000001,0.00030436574195435474,0.00019413614163614208,0.020345124940886705,0.009449518895524882,0.01993972776441103,0.011731601000000001,0.012404087749455329,0.024873848957055206
402,0.017107568194444454,0.00030277415960840886,0.00019225376475376515,0.02074032888177341,0.009783262294693182,0.020356533528822055,0.01215016,0.012753030638297864,0.02529429803680981
403,0.017595565416666674,0.000302489631,0.00019037138787138822,0.02149331053061225,0.010117005693861482,0.020773339293233082,0.012568719,0.013095289148936163,0.025646979212435226
404,0.018049114958333334,0.000302489631,0.0001884890109890113,0.0222551010940594,0.010522910250522675,0.021190950629629626,0.012972989234113712,0.013437547659574462,0.02599609624630541
405,0.018466810791666663,0.000302489631,0.00018660663410663436,0.0227935105,0.010937733601930184,0.021688313592592594,0.013377259468227423,0.013909209809523804,0.026321271123152704
406,0.01887795561874999,0.000302489631,0.0001841938345531162,0.0233319199059406,0.011422757811362077,0.0222087163220339,0.01378263027030033,0.014386263777777774,0.026646446
407,0.01922286249375,0.000302489631,0.0001813291934649222,0.02403065959183673,0.011923803919262602,0.02289807733898305,0.014296957300333698,0.014863317746031746,0.026767675875518673
408,0.019511646496000002,0.00030122703393578343,0.00017846455237672824,0.024724499492610824,0.012451495780058433,0.0235874383559322,0.014811284330367068,0.015250834925,0.026888905751037345
409,0.019742016896,0.0002996354503338767,0.00017559991128853424,0.025207549246305413,0.012979187640854291,0.024455452318181813,0.015325611360400438,0.01561734964722222,0.02681177014649682
410,0.019972387296,0.00029804386673196995,0.00017273527020034024,0.025690599,0.013506879501650183,0.025379883,0.015839938390433808,0.01598386436944444,0.026592921266666673
411,0.020098558657692306,0.00029645228313006323,0.00016912619206032402,0.026621560576354692,0.014056420471775532,0.026758605881355924,0.016354265420467178,0.01637517258644067,0.026184634600000006
412,0.02022367750384615,0.0002948606995281565,0.00016485695276114456,0.027552522152709383,0.014625489322055343,0.027840578090909087,0.01686859245050055,0.01685975156949152,0.02562035851162793
413,0.020319548203999997,0.0002932691159262498,0.0001605877134619651,0.02853333396428572,0.0152269842403052,0.028845507439739414,0.01738291948053392,0.017344330552542368,0.024178601163636366
414,0.020369671803999997,0.0002916775323243431,0.00015631847416278566,0.029513165520100495,0.01579332419761596,0.029663964768729643,0.01789724651056729,0.01781518543103448,0.023409002981818174
415,0.020419795403999998,0.0002888855943393387,0.0001520492348636062,0.030243317530150745,0.01633161761666176,0.030482422097719872,0.01841597577814568,0.01824697939655172,0.022282763984732848
416,0.020508952535,0.0002857024296474469,0.00014837037037037043,0.03097346954020099,0.016828807057758403,0.0313008794267101,0.019150414685430453,0.018678773362068957,0.02127879680916029
417,0.020602934035,0.0002825192649555551,0.00014523646723646732,0.03170362155025124,0.0172915520344822,0.03245035519387754,0.019884853592715225,0.019110567327586196,0.01985863762790695
418,0.020696915535,0.00027933610026366335,0.0001421025641025642,0.03391801808866993,0.017734921999996274,0.03358515317733989,0.020619292499999997,0.019487595484304922,0.018342119
419,0.020790897035,0.0002761529355717715,0.0001389686609686611,0.03479622104433496,0.0181400679605345,0.03413725908866994,0.021353731407284773,0.019849176874439454,0.01700207624137932
420,0.02114938053809524,0.00027296977087987975,0.000135834757834758,0.034622605,0.0185288322046545,0.034689365,0.022088170314569545,0.020210758264573987,0.01595951877011496
421,0.021540555300000007,0.000269786606187988,0.00013192443359110034,0.035641361157635484,0.018895662889275355,0.03524147091133006,0.022822609221854317,0.02057233965470852,0.01433788132558135
422,0.022070007373333346,0.0002675518694082526,0.00012799009632342967,0.03666011731527097,0.01924526006286117,0.035793576822660114,0.02333349461538462,0.021023234317073168,0.01258957393750004
423,0.022693820842857145,0.0002656950218726948,0.000124055759055759,0.03778476922959185,0.0195958310523567,0.03593116497306397,0.0238398176923077,0.021663919682926833,0.01067494085714286
424,0.023372461517647047,0.0002638381743371369,0.00012012142178808834,0.03890794823267326,0.019949854661895763,0.03605593298653199,0.024346140769230775,0.02234205830044843,0.009845655142857146
425,0.023991197988235284,0.00026198132680157907,0.00011618708452041767,0.0395610715,0.020303878271434823,0.036180700999999996,0.025069586115000007,0.023037821977578473,0.008523781243243258
426,0.02486123449999999,0.0002601244792660212,0.00011266447368421034,0.04021419476732674,0.02087343679413885,0.03630546901346801,0.025795224615000008,0.023714014987288128,0.007361621783783754
427,0.025431389074999998,0.00025826763173046336,0.00010953744314489914,0.04094110303571428,0.021429188486083245,0.03643023702693603,0.026520863115000008,0.02436628829237287,0.006372002813333307
428,0.025922181133333333,0.00025672717514688034,0.00010641041260558797,0.04166115496551723,0.021926377927179944,0.036554735733990144,0.02724650161500001,0.025014639312727256,0.0054598204045801305
429,0.02614094945625,0.00025533454059665074,0.00010328338206627678,0.04213542048275862,0.022497624257055385,0.036670526866995075,0.02797214011500001,0.02562333167636362,0.004690421303030293
430,0.026297585081249998,0.00025394190604642114,0.0001001563515269656,0.042609686,0.023173114586823473,0.036786318,0.028697778615000006,0.026232024039999982,0.004243785696969694
431,0.026183609629411766,0.0002525492714961915,9.75189933523267e-05,0.04303124363546799,0.02406174630057198,0.036955499773399014,0.029447900424040073,0.02685408929268291,0.0037971500909090954
432,0.025992654687500002,0.0002511566369459619,9.49074074074074e-05,0.04345280127093597,0.024952801213158755,0.03712468154679803,0.030198269539232058,0.02750211368292682,0.003359054011857713
433,0.0254590945,0.0002497640023957323,9.22958214624881e-05,0.04339621237755103,0.02573353504132998,0.03808702525510205,0.030948638654424043,0.028134515844290654,0.0029288405731225306
