wavelength_nm,WT_absorption_m2_mgChla,Olive_absorption_m2_mgChla,PAL_absorption_m2_mgChla
538,0.006161000000000001,0.0053,0.006
539,0.006161000000000001,0.005,0.0057
540,0.00606,0.0048,0.0054
541,0.00606,0.0045,0.0051
542,0.005959,0.0043,0.0049
543,0.005959,0.0041,0.0046
544,0.0058579999999999995,0.0039,0.0044
545,0.0058579999999999995,0.0038,0.0041
546,0.0058579999999999995,0.0036,0.0039
547,0.0058579999999999995,0.0035,0.0038
548,0.0058579999999999995,0.0033,0.0036
549,0.0058579999999999995,0.0032,0.0034
550,0.0058,0.003,0.0033
551,0.0059,0.0029,0.0032
552,0.0059,0.0028,0.0031
553,0.006,0.0026,0.003
554,0.0061,0.0025,0.0028
555,0.0062,0.0025,0.0027
556,0.0063,0.0024,0.0027
557,0.0065,0.0024,0.0026
558,0.0066,0.0023,0.0025
559,0.0067,0.0023,0.0025
560,0.0069,0.0022,0.0024
561,0.007,0.0022,0.0024
562,0.0072,0.0022,0.0023
563,0.0073,0.0022,0.0023
564,0.0075,0.0022,0.0022
565,0.0077,0.0023,0.0022
566,0.0079,0.0023,0.0021
567,0.0081,0.0024,0.002
568,0.0083,0.0024,0.002
569,0.0085,0.0024,0.0019
570,0.0087,0.0025,0.0018
571,0.0089,0.0025,0.0018
572,0.0091,0.0026,0.0018
573,0.0093,0.0027,0.0018
574,0.0095,0.0028,0.0019
575,0.0097,0.0028,0.0019
576,0.0099,0.0029,0.002
577,0.0102,0.003,0.0021
578,0.0105,0.0031,0.0021
579,0.0107,0.0032,0.0022
580,0.0109,0.0033,0.0022
581,0.0111,0.0034,0.0023
582,0.0114,0.0035,0.0024
583,0.0116,0.0036,0.0025
584,0.0118,0.0037,0.0026
585,0.012,0.0038,0.0027
586,0.0122,0.0039,0.0027
587,0.0124,0.0041,0.0028
588,0.0126,0.0042,0.0029
589,0.0128,0.0043,0.003
590,0.013,0.0044,0.003
591,0.0133,0.0046,0.0031
592,0.0135,0.0047,0.0031
593,0.0137,0.0048,0.0031
594,0.0139,0.0049,0.0031
595,0.0141,0.005,0.0031
596,0.0143,0.0051,0.003
597,0.0145,0.0052,0.003
598,0.0148,0.0053,0.0029
599,0.015,0.0054,0.0028
600,0.0152,0.0055,0.0028
601,0.0155,0.0055,0.0028
602,0.0157,0.0056,0.0027
603,0.016,0.0056,0.0027
604,0.0162,0.0056,0.0027
605,0.0165,0.0056,0.0028
606,0.0168,0.0057,0.0028
607,0.017,0.0058,0.0029
608,0.0173,0.0058,0.003
609,0.0176,0.0059,0.0031
610,0.0179,0.006,0.0032
611,0.0182,0.0061,0.0033
612,0.0185,0.0062,0.0035
613,0.0188,0.0063,0.0036
614,0.0191,0.0064,0.0038
615,0.0195,0.0065,0.0039
616,0.0198,0.0066,0.004
617,0.0201,0.0068,0.0041
618,0.0203,0.0069,0.0043
619,0.0206,0.007,0.0044
620,0.0208,0.0071,0.0045
621,0.021,0.0072,0.0046
622,0.0211,0.0074,0.0047
623,0.0213,0.0075,0.0047
624,0.0214,0.0076,0.0048
625,0.0215,0.0078,0.0049
626,0.0215,0.0079,0.0049
627,0.0216,0.008,0.005
628,0.0215,0.0081,0.005
629,0.0215,0.0082,0.005
630,0.0213,0.0083,0.005
631,0.0212,0.0084,0.005
632,0.021,0.0085,0.005
633,0.0208,0.0086,0.005
634,0.0206,0.0087,0.0049
635,0.0203,0.0088,0.0049
636,0.02,0.0089,0.0048
637,0.0197,0.009,0.0047
638,0.0194,0.0091,0.0046
639,0.0191,0.0093,0.0046
640,0.0187,0.0094,0.0045
641,0.0183,0.0096,0.0045
642,0.0179,0.0097,0.0044
643,0.0175,0.0099,0.0043
644,0.0171,0.0101,0.0043
645,0.0167,0.0103,0.0042
646,0.0164,0.0105,0.0042
647,0.0161,0.0108,0.0041
648,0.0158,0.011,0.0042
649,0.0155,0.0113,0.0042
650,0.0153,0.0117,0.0043
651,0.0151,0.0121,0.0044
652,0.0149,0.0125,0.0046
653,0.0148,0.0129,0.0048
654,0.0146,0.0133,0.005
655,0.0146,0.0136,0.0052
656,0.0145,0.014,0.0055
657,0.0145,0.0144,0.0058
658,0.0145,0.0148,0.0062
659,0.0145,0.0151,0.0066
660,0.0146,0.0155,0.0071
661,0.0147,0.0159,0.0076
662,0.0149,0.0163,0.0083
663,0.0151,0.0167,0.009
664,0.0155,0.0171,0.0096
665,0.0158,0.0174,0.0103
666,0.0161,0.0178,0.011
667,0.0166,0.0181,0.0118
668,0.017,0.0185,0.0125
669,0.0175,0.0189,0.0134
670,0.0179,0.0193,0.0142
671,0.0183,0.0197,0.015
672,0.0187,0.0201,0.0157
673,0.0191,0.0205,0.0165
674,0.0195,0.0208,0.0173
675,0.0198,0.021,0.018
676,0.02,0.0212,0.0186
677,0.0202,0.0214,0.019
678,0.0204,0.0215,0.0194
679,0.0205,0.0215,0.0197
680,0.0205,0.0215,0.0198
681,0.0204,0.0214,0.0198
682,0.0201,0.0212,0.0197
683,0.0199,0.0209,0.0195
684,0.0195,0.0205,0.0191
685,0.0189,0.02,0.0187
686,0.0182,0.0192,0.018
687,0.0175,0.0184,0.0174
688,0.0166,0.0174,0.0165
689,0.0156,0.0164,0.0158
690,0.0146,0.0154,0.0148
691,0.0134,0.0141,0.0137
692,0.0122,0.0128,0.0124
693,0.011,0.0116,0.0112
694,0.0098,0.0104,0.01
695,0.0089,0.0093,0.009
696,0.008,0.0084,0.0081
697,0.0072,0.0075,0.0072
698,0.0064,0.0067,0.0065
699,0.0058,0.006,0.0059
700,0.0051,0.0054,0.0055
701,0.004400000000000001,0.0047,0.005
702,0.003700000000000002,0.0042,0.0046
703,0.0030000000000000027,0.0038,0.0041
704,0.0023000000000000034,0.0033,0.0036
